"PROCESO DE COMPRA","COMPRAR"
"Información personal","Información personal"
"¿Ya tienes cuenta?","¿Ya tienes cuenta?"
"Por favor inicia sesión.","Por favor inicia sesión."
"Correo electrónico","Correo electrónico"
"Contraseña","Contraseña"
"¿Olvidaste la contraseña?","¿Olvidaste la contraseña?"
"Iniciar sesión","Iniciar sesión"
"¿Aún no tienes cuenta?","¿Aún no tienes cuenta?"
"Completa tu información de contacto.","Completa tu información de contacto."
"Continuar sin cuenta","Continuar sin cuenta"
"Opciones de envío","Opciones de envío"
"Selecciona un distribuidor Giant","Selecciona un distribuidor Giant"
"Forma de Pago","Forma de Pago"
"Envío","Envío"
"(IVA incluido)","(IVA incluido)"
"Los precios en tienda pueden variar según las ofertas, métodos de pago, comisiones o cargos de cada distribuidor.","Los precios en tienda pueden variar según las ofertas, métodos de pago, comisiones o cargos de cada distribuidor."
"Selecciona un distribuidor","Selecciona un distribuidor"
"Por favor selecciona un distribuidor para continuar.","Por favor selecciona un distribuidor para continuar."
"Cargando distribuidores…","Cargando distribuidores…"
"No hay distribuidores disponibles en tu área.","No hay distribuidores disponibles en tu área."
"No se pudieron cargar los distribuidores. Por favor recarga la página.","No se pudieron cargar los distribuidores. Por favor recarga la página."
