"Shopping Cart","CARRITO DE COMPRAS"
"My Cart","Carrito de compras"
"Checkout","Proceso de Compra"
"View Cart","Seguir comprando"
"Items in Cart","Artículos en el carrito"
"Item in Cart","Artículo en el carrito"
"Recently added item(s)","Artículo(s) agregados recientemente"
"You have no items in your shopping cart.","No tienes artículos en tu carrito de compras."
"Continue Shopping.","Seguir comprando"
"<a class=""button"" href=""%1"">Continue shopping.</a>","<a class=""button"" href=""%1"">Seguir comprando</a>"
"<a class=""button giant-btn-back-shop"" href=""%1"">Continue shopping.</a>","<a class=""button giant-btn-back-shop"" href=""%1"">Seguir comprando</a>"
"Remove item","Eliminar artículo"
"Remove","Eliminar"
"See Details","Ver detalles"
"Options Details","Detalles de opciones"
"Update","Actualizar"
"Qty","Cant."
"Edit","Editar"
"Edit item","Editar artículo"
"Subtotal","Subtotal"
"Order Total","Total"
"Cart Subtotal","Subtotal del carrito"
"Tax","Impuesto"
"Grand Total","Total"
"Grand Total Incl. Tax","Total (IVA incluido)"
"Discount","Descuento"
"Proceed to Checkout","Pagar ahora"
"Apply Discount Code","Aplicar código de descuento"
"Enter discount code","Ingresa código de descuento"
"Apply Discount","Aplicar descuento"
"Cancel coupon","Cancelar cupón"
"Your coupon was successfully applied.","Tu cupón fue aplicado exitosamente."
"Your coupon was successfully removed.","Tu cupón fue eliminado exitosamente."
"Update Shopping Cart","Actualizar carrito"
"Clear Shopping Cart","Vaciar carrito"
"Continue Shopping","Seguir comprando"
"Estimate Shipping and Tax","Estimar envío e impuestos"
"Country","País"
"State/Province","Departamento"
"Zip/Postal Code","Código postal"
"Shipping","Envío"
"Order Summary","Tu Pedido"
"Total","Total"
"Tax included","(IVA incluido)"
"Close","Cerrar"
"See price before order confirmation.","Ver precio antes de confirmar pedido."
"of","de"
"items","artículos"
"item","artículo"
"Price","Precio"
"Product added to cart","Producto agregado al carrito"
"Add to Wish List","Lista de deseos"
"Add to Compare","Comparar"
"Registered Customers","¿Ya tienes cuenta?"
"New Customers","¿Aún no tienes cuenta?"
"Special Price","Precio especial"
"Regular Price","Precio regular"
"Sign in","Iniciar sesión"
"Sign In","Iniciar sesión"
"Not a Member yet?","¿Aún no tienes cuenta?"
"Shopping Cart Items","Artículos del carrito"
"Item","Artículo"
